num,stock,big,profit,p,share
2454,聯發科,1.23,0.1136 ,475.5,80.11
2456,奇力新,6.08,0.8881 ,50.6,70.61
2457,飛宏,0.05,0.0736 ,17.5,35.89
2458,義隆,1.65,0.1238 ,54,51.85
2459,敦吉,1.07,0.0855 ,42.55,54.65
2460,建通,0.13,0.0528 ,12.95,63.2
2461,光群雷,0.79,0.0487 ,16.15,45.22
2462,良得電,-1.62,0.0501 ,24.1,38.71
2464,盟立,0.07,0.1034 ,29.35,49.75
2465,麗臺,-0.31,-0.0480 ,11.9,32.07
2466,冠西電,0.79,0.0147 ,34.5,92.69
2467,志聖,-1.62,0.0185 ,22.05,42.27
2468,華經,-0.66,0.0000 ,12.9,69.25
2471,資通,-0.09,0.0761 ,15.55,17.27
2472,立隆電,-1.46,0.1578 ,42.55,73.72
2474,可成,1.83,0.0989 ,289,78.07
2475,華映,0.25,-0.0714 ,1.43,52.68
2476,鉅祥,0.27,0.0074 ,27.4,64.52
2477,美隆電,0.8,0.1036 ,13.85,75.07
2478,大毅,-0.82,0.1496 ,19.6,66.87
2480,敦陽科,0.98,0.0070 ,28.75,38.89
2481,強茂,0.36,0.2097 ,15,49.01
2482,連宇,4.42,-0.1880 ,19,55.67
2483,百容,1.97,0.4538 ,27.55,62.78
2484,希華,-1.69,0.1344 ,24.05,30.46
2485,兆赫,-0.01,0.1643 ,33.3,43.96
2486,一詮,-1.9,0.0829 ,18.95,39.41
2488,漢平,-0.58,0.1709 ,22.95,49.51
2489,瑞軒,-0.89,0.0086 ,17.65,34.92
2491,吉祥全,0.4,0.6448 ,15.05,60.96
2492,華新科,2.64,0.4225 ,15.15,60.52
2495,普安,0,0.0398 ,17,60.6
2497,怡利電,1.96,0.2533 ,75.2,73
2498,宏達電,4.87,0.0438 ,143,55.22
2499,東貝,3.46,0.2224 ,33.8,60.38
2501,國建,0.31,0.1115 ,17.95,83.73
2504,國產,0.41,-0.0094 ,10.5,68.63
2505,國揚,1.48,0.0606 ,14,66.97
2506,太設,1.07,0.1861 ,13.7,71
2509,全坤建,0.46,0.0599 ,23.9,71.53
2511,太子,-0.01,0.0588 ,12.6,77.67
2514,龍邦,0.57,0.1811 ,23.15,93.6
2515,中工,0.1,-0.0266 ,7.68,47.43
2516,新建,0.67,0.0739 ,8.72,58.98
2520,冠德,-0.71,0.1524 ,31,74.05
2527,宏璟,1.71,0.3353 ,22.3,87.58
2535,達欣工,-2.04,-0.0429 ,20.1,56
2538,基泰,0.44,0.1778 ,21.2,65.16
2542,興富發,1.77,0.2462 ,65.3,77.79
2543,皇昌,1.08,-0.0085 ,11.6,85.12
2545,皇翔,1.1,0.1248 ,45.05,81.96
2546,根基,0.18,0.1100 ,16.65,61.02
2547,日勝生,1.1,-0.1277 ,16.05,59.5
2548,華固,-0.29,0.1621 ,57.7,62.51
2596,綠意開發,0.49,0.0374 ,18.05,70.26
2597,潤弘,-0.06,0.0422 ,66.7,76.2
2601,益航,0.01,-0.1432 ,17.05,51.06
2603,長榮,1.31,0.1743 ,21.9,84.05
2605,新興,-0.38,-0.0290 ,25.15,58.6
